id	AIM2	ARG1	CD4	CSF1R	F5	IER3	IL18R1	IL1R2	IRAK3	ORM1	RNASE2	S100A12	S100A9	SLPI	STK17B	TNFAIP6	TNFSF14	TPST1	VCAN	VNN1	Type
Train.GSE15573_GSM389715_Control	2.18874396676319	-0.0310221231272088	5.68941005595132	5.63315024586621	2.31393794690873	4.75887614519368	2.59247845686836	1.99875349011395	1.4480996305633	2.11640892198056	0.223225939303437	2.13795374164605	3.54336695595754	0.960078023570279	4.38025984941318	1.09549257717997	3.03593237261789	2.62389955679997	4.2799489887639	-0.307034777922245	0
Train.GSE15573_GSM389718_Control	2.32324657471449	0.22165845987892	4.9863824001406	4.85549702049992	0.780254078348212	3.52336573379661	2.37734535092237	1.07831173177726	1.09650283969691	1.96896461188788	1.33912012676332	2.2981357013514	3.01014647962572	-0.0346047242372438	4.4202813925744	1.03469736322049	2.39936653461009	2.44589194807597	3.68517939684503	-0.404195445768125	0
Train.GSE15573_GSM389720_Control	2.23374222708337	0.859185726669913	5.15551644831768	3.91637673867487	2.17446344012201	4.92523139351198	2.21365302306156	1.35418236368917	1.28460053311631	2.23188034644265	-0.653428138687175	1.31541862669719	3.62378445712561	-0.0140237974097754	4.48836207500808	1.38350172979548	3.26099817553045	2.39809481451577	2.67813187101266	1.02652691752976	0
Train.GSE15573_GSM389723_Control	2.66965361846926	0.381268306990235	5.46531216053229	5.30319511573978	2.06472792149627	4.15124581929421	2.45027763907489	2.23872868270669	2.05793189033989	0.935907248346417	0.600562168324621	1.40457529159609	3.6650732815949	2.71104296030867	4.24731717524922	1.92817705734896	2.81307537386589	2.48409476351625	4.04281765194656	0.565682709839237	0
Train.GSE15573_GSM389725_Control	1.94839657690627	0.225767911203005	5.63412486833579	7.82355075732427	2.81359674788248	4.39016083885001	1.93361255120259	1.87325045774982	1.71136669703041	1.88240409776371	0.533482216462335	2.26423646106344	4.0785055635041	1.08191329360227	4.02266437887129	1.15250236930355	3.31720297055973	2.78536405152482	4.63899262118075	-0.0945119702934781	0
Train.GSE15573_GSM389728_Control	1.57337526223938	0.585114419707142	5.20508747192291	5.19297315183944	1.45349513046099	4.67119647103651	2.19434791538731	1.78022178893162	2.01984052955681	2.23112689755075	0.778823789029579	2.03850453004037	3.5263477917174	0.568729126743538	3.67853440713754	0.78321694046458	2.82839208959539	2.75144075735623	0.448650830339826	0.178700547479385	0
Train.GSE15573_GSM389729_Control	1.36531093737826	0.524636503999671	6.04779568673181	4.71293132012049	1.43179847214219	4.11611723454168	1.69220980992068	2.16139421336288	1.34257812638571	2.15617667206563	-0.613558346569574	1.68606706786686	2.56782022114899	2.16821143416127	4.01762753405145	0.845615345565788	3.34440798512894	2.79036679141525	4.25515844207893	-0.472449265186209	0
Train.GSE15573_GSM389732_Control	1.66871599776775	0.70326359721458	6.00481905570451	4.96225340899877	3.36696541931738	3.01153832098494	2.65324689743795	1.90039727434084	2.19979336104035	2.34282287674905	-0.389202258550938	1.71515085402353	2.25857906670452	-0.0144195543822887	4.02237229274067	1.25023597375836	3.36825568938076	2.3205564414498	0.71089732895072	0.115939330466677	0
Train.GSE15573_GSM389734_Control	1.68858584969851	0.0166207043556255	5.44523123450296	5.69969550252618	1.04827670914906	2.95402659294862	2.15441379423351	0.800563357905824	0.699791538488935	1.47536537884383	-0.24567494971472	2.27671382990547	2.17969167020724	0.093886458514282	4.14392688967717	1.2660443443961	1.71364445307315	2.21874560658735	4.18608756064229	-0.616624005664127	0
Train.GSE15573_GSM389703_Treat	3.51173260053187	1.59771984159854	4.46031729482346	3.28684132364284	2.54202969689146	5.55431841320626	2.3310139391266	3.64523325553283	3.13503350286261	2.46706813667483	2.80204365276742	2.06604567255175	4.49485404490351	2.12614231155749	5.07226440271253	1.97220671283914	1.80395880086058	3.35170729662548	4.50421294336061	1.59659744611232	1
Train.GSE15573_GSM389704_Treat	2.57653419475253	2.102175424463	4.94324062456688	4.19307540268361	1.81538312725529	4.94924722050741	1.72578897155339	2.17350875175777	1.9336678317004	3.49748996674542	2.92397434504844	1.60492790411529	4.61427621428723	7.02631598257132	4.26380937556255	1.96086817303207	3.66091954040506	2.77483520062576	3.71392071550625	0.423778659582682	1
Train.GSE15573_GSM389706_Treat	2.2237564867955	5.58576090807032	4.19854529130127	4.62204533891749	4.58857409625323	5.50738783554719	4.17056782713083	5.21997385491322	4.1975572476091	4.41395752114307	5.42683590710292	3.90332894683564	6.72975892937768	3.75819088146826	5.02385440842929	3.83110881120076	4.07083902940985	4.91468511260871	4.42643670913118	1.92816388485848	1
Train.GSE15573_GSM389708_Treat	2.43276595805491	1.91654232155238	4.92368441889441	4.75385321353393	2.72130031566777	5.43612694803864	1.87536704543704	1.97353497891343	1.73779429921602	3.1468317771517	3.29616195119697	1.38546561653134	4.71548913802019	2.27029014070379	4.56092086446679	1.27488356042079	3.05669369159402	2.71790569152884	3.4874900838753	0.114509096831312	1
