id	GSM3354765_Control	GSM3354767_Control	GSM3354769_Control	GSM3354771_Control	GSM3354766_Treat	GSM3354768_Treat	GSM3354770_Treat	GSM3354772_Treat
ABHD17C	9.77675419697575	9.94706922781472	8.59909307650923	9.79466543093298	9.80512040455846	9.70706080649939	8.54544997317386	9.83500788243922
ABHD2	9.91361607199083	10.0317685775395	10.577758759136	10.0846207431132	9.9238197899847	9.99514827987126	10.6371883922113	10.0750782553769
ABHD3	9.03513232661678	9.0411787943106	9.16649381364727	9.77577235382392	8.52278365113699	8.49004353030209	9.36957246134547	9.0272237226329
ABHD4	10.0430234794326	9.87122723194097	10.1406725305092	9.95764872343264	9.86768252179903	9.83311271345462	10.0510564699534	10.1423375537489
ABHD5	9.37297723835681	8.80020489617789	8.79217021573715	8.84092202940023	9.5467468574803	8.70805269992206	8.83565544620026	8.58906492290317
ABHD6	7.08913037048698	7.31790714059302	7.29251811625399	7.321247780734	7.01639503449474	7.25106193806841	7.4950237272695	7.15769102084208
ABHD8	6.27335059452129	6.10465524080544	4.08104472707913	5.61644285517401	6.14668085629469	6.08281083945731	3.39969497904232	7.02613946358053
ABI1	10.8892617279994	10.5818161265783	10.8029556147268	10.8460985909524	10.8824760550421	10.560530801152	10.8136564286251	10.7889498583927
ABI2	9.09952783236782	9.23863359221271	9.52991631182117	8.8117661945829	9.0650618453704	9.17802075140913	9.57842178564751	8.97794613761388
ABI3	4.29136996315389	6.19692787095921	5.18848441130105	5.8329204135038	4.67373173171931	6.40830259407176	3.91240103091632	4.58763844557533
ABI3BP	12.9317229397698	13.7318632764165	13.2733509980642	13.4650084723127	13.0680520257518	13.6288681027124	13.1678736758322	13.3226241400114
ABL1	11.1143047475541	11.5481842824629	11.5675446117381	11.4913550882566	11.2603922190552	11.553212387723	11.5695335407742	11.4570094500326
ABL2	9.34057582173756	8.98251362727907	9.07762994243825	9.2484927129791	9.14390195618725	9.17638632947363	9.21350743837865	9.25424393341792
ABLIM1	9.42109589188162	10.2726924344323	8.77811183438623	11.139101810441	9.5088070011552	10.2375223069574	8.69093986545976	11.3176719176871
ABLIM2	5.76893534073735	4.54902714973634	4.8146235050103	4.67127890095568	5.01366015917307	5.84847736864384	4.98547409936128	4.10738230388017
ABLIM3	8.86075260323094	7.72699931726647	7.20650836929044	9.65623745749444	8.87737655370934	7.64470268998461	7.55964514010646	9.75223008353371
ABO	3.81864611637938	3.04326148002092	3.40659647627068	3.00894676284081	2.27275914861734	3.21446599558025	2.5302700157525	2.42972897520073
ABR	10.4600083504291	10.4862902791977	10.1734659578703	10.3956525489937	10.6305119520637	10.7791398918096	10.2285219859946	10.9409818941841
ABRA	3.85310282155616	1.66803411639371	3.34947358990699	3.84422081762691	1.4908500221713	3.71393799343034	4.20868678104831	3.83827788148564
ABRACL	11.5425075244304	11.2358325159879	11.112789484902	11.4697150185879	11.5644271661874	11.1735104852245	11.2358325159879	11.1817047132135
ABT1	8.0378742971053	8.06219972063009	7.8724238795261	8.25716238637984	8.16906219500499	8.45604157594397	7.87353185061969	8.22587370845257
ABTB1	5.19198176900254	5.79658279756819	5.50937295483197	5.78194273182532	5.20218611697749	5.51963862371478	5.71662348381873	4.94070383942725
ABTB2	7.25376041398083	7.84416261015526	7.73066927729308	6.88741671550038	7.31516774651853	7.65036051996955	7.73259780193528	6.9749490096545
AC000111.3	3.91240103091632	1.26180556489393	4.10880361018575	3.93694529069156	3.2032616346156	1.12035199248045	1.28420405524034	4.05025471308228
AC002059.10	6.33093751712159	5.38041580443592	5.64209282490737	6.0640984289939	6.05480760783527	6.01322472505385	5.67738081318619	5.99420450309419
AC002064.5	2.0165110422011	5.13354448643579	5.41697828816767	4.09311392418358	5.88662687871436	4.5868726136822	4.61160109361186	5.14033951346328
AC002310.12	5.77537859368072	5.55149314259894	5.87533868133851	6.0533928966217	5.83409593383257	6.80523186994946	6.28675498929652	5.48068899834243
AC002310.7	5.10919807964092	5.455145103143	3.55864730188877	4.83189028787226	3.81002516045559	2.55456776653246	5.30213825439751	5.25912779405687
AC003973.4	4.50433092292282	2.8090421492769	3.153386684053	2.50780689094479	2.7333054850151	4.69758363042603	5.05834394651803	1.94329805530444
AC003986.5	5.0185781645803	5.61983996647882	5.97489353274158	3.68347698491155	6.59098024879065	6.21255453087868	5.68537559306235	4.79912397343992
AC003989.4	6.04706439489861	6.21493985809966	6.47348550051827	5.68949590571364	6.21194131860319	5.23842978341062	6.929843189383	6.00418708625245
AC004158.3	4.65096580260708	2.27275914861734	4.95234890763094	4.32681504854396	3.76977056929383	3.91303939222046	4.20868678104831	4.79912397343992
AC004490.1	2.90712105163598	1.18526005272028	2.87859062277836	3.31215882085365	2.88899481185975	2.8171449205238	4.58763844557533	1.81567768586113
AC004538.3	8.24741989413531	7.73387784308364	7.67916078936073	6.843054532988	8.07366897828319	7.20850912470793	7.01524977590055	6.42305356532798
AC004692.5	8.14817275897445	8.76644328551253	8.57697476021867	8.3536620894099	8.58837108227236	8.62626906666591	8.78646387984778	8.58596574035462
AC004941.5	9.90112073399152	9.88253940051145	9.59728178654478	9.74660548074571	9.69144851640576	8.96710210542963	9.81757096055022	9.27738489428687
AC004951.6	8.06322218430479	7.71868805483396	7.74593523951118	7.6348266115518	8.10083329775774	8.10068862938498	7.72353332536122	7.54078034005654
AC005162.4	3.43059221708956	2.70951927755014	5.84880490172096	2.27275914861734	3.70960354608164	3.65283409697753	3.82822249798029	3.17511714750255
AC005224.2	5.71754135080446	5.48222525227874	4.75674195446779	5.37683116016388	5.74707384778214	5.75601596249859	5.56936076774109	4.63007231890624
AC005256.1	3.11071088330899	3.66817170024948	3.81640852296576	3.09047196874863	3.91240103091632	2.79471267986878	2.10674942140575	3.17511714750255
AC005306.3	3.55798666023829	4.94361664817592	5.59116066101817	5.16789788658125	5.8212417171348	2.58449085508602	5.18571707675893	4.50520020806553
AC005498.3	5.40905494315948	5.88843714082494	5.58408112455591	5.069748118842	6.81770055881318	6.07758499489339	5.54817044824958	6.0532658898609
AC005523.2	6.42033236168476	6.12317725691811	5.86722784486572	6.84491921851243	7.08203379082771	6.03932623088889	6.51629766428481	6.70338135753622
AC005523.3	5.26966403015772	5.77811473877141	3.65194983219649	3.285733456464	3.23533156644815	4.29155252502978	4.54539572740146	3.73054230724017
AC005537.2	1.57173133124317	4.13045274234188	1.53192952356312	4.92961278980264	2.43204890325196	2.60988579333554	2.58916201892868	2.71622867277563
AC005592.3	4.42898830403893	4.12211478692308	3.01162178787688	3.6117227838232	4.15560736199405	4.86530363117425	4.43628166662545	4.83115212444727
AC005606.14	3.24173986324736	6.02398934532676	5.4861417249162	5.21926438012983	2.86830354737754	3.22011105638856	5.43311279534264	5.71399541133997
AC005754.7	1.71754718997362	4.72621127079626	1.43854502986176	2.07738231550131	2.97752801171831	2.27367457211512	1.28420405524034	2.78322634283419
AC005785.2	5.78540381674367	6.32938079544481	5.55028943551683	5.53359525589082	5.90827718421978	5.35245786517125	5.72321135922805	4.67931737312443
AC005838.2	3.57976564586999	2.12624028391502	1.3842691466115	1.90043709111406	3.51799456602306	2.15035848983621	2.6608575439641	4.65134862158345
AC006026.13	4.65096580260708	4.44736295154213	2.70649466100474	5.42779943204899	2.80164618202789	6.13841874924905	5.64893226123934	5.55388982160945
AC006129.2	2.58554237457835	2.27275914861734	1.6195018453733	1.72039974400586	1.43854502986176	4.86530363117425	4.74021166217618	1.75892745800638
AC006538.1	6.08151534866566	6.04516776419801	3.23442435498915	6.09129050530546	6.15802415812396	4.99026503859965	6.14673124380093	5.07755702048161
AC007228.11	4.20868678104831	5.02601076968847	6.21759918663442	6.28117068842168	2.17654882443585	3.96074164203212	5.5571704008203	6.23969809754757
AC007255.8	4.58122543692611	4.13045274234188	4.009696308417	5.30748320940777	4.39797754706237	3.62625522950798	5.24875654989243	6.28908190937135
AC007292.3	5.71443228749372	6.54527554886688	5.74924921274335	6.13928656743017	4.90813029070471	5.93947872018406	4.02533862836682	5.91029942533185
AC007349.5	4.80457561256633	1.58417329043703	1.9803698501718	2.07738231550131	1.12035199248045	3.20342372870597	6.06156797774007	4.74682566556232
AC007362.3	2.00144316106021	4.24186170874531	3.69587656031088	3.68958687051416	3.11216625825823	3.58581616394119	4.41512515402988	5.21070273744806
AC007364.1	4.47453666892047	4.391466875097	5.26180563183331	5.55477028979674	5.8574867623941	5.22136008141902	5.71463222576498	4.29108153028428
AC007365.3	6.67152516651123	5.8994971933842	6.46583282575524	6.16580797887407	6.7848122114428	6.45873993744086	6.57902777684205	6.51176187085841
AC007389.3	3.49965779944244	6.0336646874347	3.95451456780389	6.15124289169782	4.99074621692073	4.82691989899535	4.67614627935732	5.89096990062355
AC007401.2	3.13234276433141	2.02107677670424	1.90524635959089	1.90043709111406	3.33263694853396	4.72584767996887	4.79821181679295	3.76111188849252
AC007557.2	1.79069796176876	5.58985387487192	4.53599987995884	0.705145009379874	3.08931965249496	4.54612028082522	4.20268690312556	0.496023903772707
AC007680.2	3.05731204746503	5.46336181039866	2.27275914861734	2.66363299763543	1.3774631736087	4.06426077159221	3.63225622450542	2.60988579333554
AC007787.2	4.35311053174251	3.60509780033401	2.47228164638535	3.15125249488313	1.90524635959089	3.81909751856501	4.20868678104831	3.07680701802644
AC007967.3	6.46065119445842	6.18578452010933	6.55457881465006	6.35286763221047	3.97978775139224	3.15160995879259	5.62278206327539	6.20696298058725
AC008088.4	5.71754135080446	5.20682604374395	2.70649466100474	5.22792659091157	6.49194129470139	5.48763376935439	6.05698873679993	6.16190014540893
AC008746.12	1.4908500221713	4.5748480348344	2.87859062277836	4.22952190968836	5.46026899775598	1.85614013854857	4.1962451795158	4.58122543692611
AC008753.4	5.86908332021002	3.60509780033401	4.86111241779298	5.7945790046818	4.28231039247565	2.60988579333554	6.47954772886283	4.96823382666841
AC009120.6	7.18713590389379	7.18955815543714	7.27974335992409	6.95377627462896	7.3971626086642	7.46641494073936	7.34445348391039	7.25376041398083
AC009133.15	6.86054698927903	5.94466524619277	6.2771200853217	5.77563398729903	6.45231317985701	3.82843329927225	6.10133827091808	5.98837046071497
AC009237.8	6.29088290863645	6.7307662945108	6.14668085629469	7.08354364969076	6.33873833700818	6.7193704227943	6.67855904494772	6.59101164964019
AC009502.4	5.48784731216219	5.88374624373349	5.65903078898821	5.87371880625592	6.45690634178503	6.3500999805705	5.47747810234861	5.00828027190871
AC009947.3	3.60801067139773	4.24702025777193	4.4029348704437	5.2091378850597	5.10005892021512	3.08475480618932	1.57173133124317	2.58916201892868
AC010095.5	3.48481304978751	2.8090421492769	1.70769819646251	2.61590092171783	2.17654882443585	1.43854502986176	3.02684637182322	4.93665277294902
AC010145.3	6.13238351591356	6.06803039234708	2.33308065392429	6.0197630307806	6.62423563912824	4.7715507338773	3.61053707447877	3.49606789190971
AC010145.4	2.56495506102786	3.2681903257306	4.78290887341282	4.72082510696124	2.77904745913391	4.94361664817592	2.99115713636435	4.04155526434748
AC010524.4	5.34033960374025	2.66541838521009	4.98846509205537	5.25327948622186	5.04438371625484	5.32899732096729	3.30022298286168	4.38844875771822
AC010980.2	6.03026625421901	5.30296819717694	4.51095735367862	5.88757535721708	4.92840771514928	4.94834809000236	5.13567118406315	4.99063020734445
AC011997.1	0.896748476555746	2.32943289422405	0.496023903772707	1.04399332993212	1.43854502986176	2.21082541090914	4.37016492222733	1.05238260441444
AC012065.7	5.35750366291268	6.19925102850771	4.40763159555716	6.22114128602266	5.89597695457872	5.94312942688829	7.06758287689459	6.41340484847666
