features	algorithm
RNASE2	Enet[alpha=0.2]
S100A9	Enet[alpha=0.2]
SLPI	Enet[alpha=0.2]
STK17B	Enet[alpha=0.2]
TPST1	Enet[alpha=0.2]
VCAN	Enet[alpha=0.2]
VNN1	Enet[alpha=0.2]
AIM2	Enet[alpha=0.3]
CSF1R	Enet[alpha=0.3]
F5	Enet[alpha=0.3]
IER3	Enet[alpha=0.3]
IL18R1	Enet[alpha=0.3]
IRAK3	Enet[alpha=0.3]
ORM1	Enet[alpha=0.3]
RNASE2	Enet[alpha=0.3]
S100A9	Enet[alpha=0.3]
SLPI	Enet[alpha=0.3]
VCAN	Enet[alpha=0.3]
VNN1	Enet[alpha=0.3]
AIM2	glmBoost+Enet[alpha=0.3]
CSF1R	glmBoost+Enet[alpha=0.3]
F5	glmBoost+Enet[alpha=0.3]
IER3	glmBoost+Enet[alpha=0.3]
IL18R1	glmBoost+Enet[alpha=0.3]
RNASE2	glmBoost+Enet[alpha=0.3]
S100A9	glmBoost+Enet[alpha=0.3]
SLPI	glmBoost+Enet[alpha=0.3]
VCAN	glmBoost+Enet[alpha=0.3]
VNN1	glmBoost+Enet[alpha=0.3]
AIM2	glmBoost+Enet[alpha=0.2]
CSF1R	glmBoost+Enet[alpha=0.2]
F5	glmBoost+Enet[alpha=0.2]
IER3	glmBoost+Enet[alpha=0.2]
IL18R1	glmBoost+Enet[alpha=0.2]
RNASE2	glmBoost+Enet[alpha=0.2]
S100A9	glmBoost+Enet[alpha=0.2]
SLPI	glmBoost+Enet[alpha=0.2]
VCAN	glmBoost+Enet[alpha=0.2]
VNN1	glmBoost+Enet[alpha=0.2]
AIM2	Enet[alpha=0.4]
CSF1R	Enet[alpha=0.4]
F5	Enet[alpha=0.4]
IER3	Enet[alpha=0.4]
IL18R1	Enet[alpha=0.4]
ORM1	Enet[alpha=0.4]
RNASE2	Enet[alpha=0.4]
S100A9	Enet[alpha=0.4]
SLPI	Enet[alpha=0.4]
VCAN	Enet[alpha=0.4]
VNN1	Enet[alpha=0.4]
AIM2	glmBoost+Enet[alpha=0.4]
CSF1R	glmBoost+Enet[alpha=0.4]
F5	glmBoost+Enet[alpha=0.4]
IER3	glmBoost+Enet[alpha=0.4]
IL18R1	glmBoost+Enet[alpha=0.4]
RNASE2	glmBoost+Enet[alpha=0.4]
S100A9	glmBoost+Enet[alpha=0.4]
SLPI	glmBoost+Enet[alpha=0.4]
VCAN	glmBoost+Enet[alpha=0.4]
VNN1	glmBoost+Enet[alpha=0.4]
CSF1R	Lasso+glmBoost
F5	Lasso+glmBoost
IER3	Lasso+glmBoost
IL18R1	Lasso+glmBoost
RNASE2	Lasso+glmBoost
SLPI	Lasso+glmBoost
VCAN	Lasso+glmBoost
VNN1	Lasso+glmBoost
AIM2	Enet[alpha=0.5]
CSF1R	Enet[alpha=0.5]
F5	Enet[alpha=0.5]
IER3	Enet[alpha=0.5]
IL18R1	Enet[alpha=0.5]
ORM1	Enet[alpha=0.5]
RNASE2	Enet[alpha=0.5]
S100A9	Enet[alpha=0.5]
SLPI	Enet[alpha=0.5]
VCAN	Enet[alpha=0.5]
VNN1	Enet[alpha=0.5]
AIM2	glmBoost
CSF1R	glmBoost
F5	glmBoost
IER3	glmBoost
IL18R1	glmBoost
RNASE2	glmBoost
S100A9	glmBoost
SLPI	glmBoost
VCAN	glmBoost
VNN1	glmBoost
