geneNames	GSE10500_GSM265436_Control	GSE10500_GSM265439_Control	GSE10500_GSM265445_Control	GSE10500_GSM265020_Treat	GSE10500_GSM265036_Treat	GSE10500_GSM265361_Treat	GSE10500_GSM265363_Treat	GSE10500_GSM265366_Treat	GSE15573_GSM389705_Control	GSE15573_GSM389707_Control	GSE15573_GSM389709_Control	GSE15573_GSM389710_Control	GSE15573_GSM389712_Control	GSE15573_GSM389713_Control	GSE15573_GSM389715_Control	GSE15573_GSM389718_Control	GSE15573_GSM389720_Control	GSE15573_GSM389723_Control	GSE15573_GSM389725_Control	GSE15573_GSM389728_Control	GSE15573_GSM389729_Control	GSE15573_GSM389732_Control	GSE15573_GSM389734_Control	GSE15573_GSM389703_Treat	GSE15573_GSM389704_Treat	GSE15573_GSM389706_Treat	GSE15573_GSM389708_Treat	GSE15573_GSM389711_Treat	GSE15573_GSM389714_Treat	GSE15573_GSM389716_Treat	GSE15573_GSM389717_Treat	GSE15573_GSM389719_Treat	GSE15573_GSM389721_Treat	GSE15573_GSM389722_Treat	GSE15573_GSM389724_Treat	GSE15573_GSM389726_Treat	GSE15573_GSM389727_Treat	GSE15573_GSM389730_Treat	GSE15573_GSM389731_Treat	GSE15573_GSM389733_Treat	GSE15573_GSM389735_Treat	GSE7669_GSM185531_Control	GSE7669_GSM185532_Control	GSE7669_GSM185533_Control	GSE7669_GSM185534_Control	GSE7669_GSM185535_Control	GSE7669_GSM185536_Control	GSE7669_GSM183695_Treat	GSE7669_GSM185526_Treat	GSE7669_GSM185527_Treat	GSE7669_GSM185528_Treat	GSE7669_GSM185529_Treat	GSE7669_GSM185530_Treat
EIF2B5	7.2236406	6.8798802	6.9582038	6.5872571	5.6601816	6.3447031	6.1618232	5.9615693	9.539012	9.64862	9.499822	9.728209	9.794522	9.119033	9.083857	9.181573	9.667713	9.15031	9.366139	9.174096	9.023273	8.845425	8.911054	9.646052	9.709381	8.868231	9.600186	9.12901	8.946606	8.983207	8.762987	9.18333	9.726188	8.965021	9.540222	9.534589	8.761063	8.95982	8.80517	8.906573	8.612747	6.9574242	7.1974843	7.1343074	6.9698367	7.1957032	7.1540191	6.5861016	6.926395	7.0926743	7.0308851	6.9329362	7.1443968
EIF2S1	8.5878391	7.3849217	7.5382575	8.5991028	8.3618373	8.3972591	8.2002996	8.6657985	7.438601	7.624595	7.675973	7.665996	7.679583	7.702271	7.57763	7.689067	7.692288	7.677835	7.581748	7.643678	7.589634	7.446721	7.759789	7.79482	7.634898	7.407641	7.691843	7.730614	7.718032	7.934408	7.4848	7.616904	7.743785	7.518373	7.426282	7.891867	7.71789	7.485371	7.637696	7.974719	7.571167	8.4985117	8.7918706	8.9914905	9.1164062	8.6299252	8.6870794	8.6470489	8.9548759	8.8378649	8.7469249	8.4018333	8.9033638
EIF2S2	8.7353349	8.8164219	8.3697406	9.1132906	10.024226	8.9560637	9.1858345	9.5405392	7.798664	7.940906	7.892053	7.946612	7.856584	7.763659	7.832198	7.898	7.986959	7.941881	7.954514	7.713312	7.765608	8.07892	7.877401	7.835269	7.900937	7.622612	7.905235	7.837436	7.852805	7.795812	7.501907	7.821006	7.970293	8.000243	8.085521	8.069113	7.685293	7.748934	7.972043	7.879298	7.758394	9.3423709	9.2498396	9.0975745	8.9491678	8.8685878	8.8055715	8.5967152	8.9589818	9.5088225	9.4253233	9.3789376	9.2646828
EIF2S3	8.0417948	7.4279261	7.8278383	5.6342212	6.8292583	8.4268127	8.7993109	6.9350909	10.492489	10.913211	10.645632	11.265768	10.612993	11.038985	10.97767	10.886128	11.064515	10.947583	10.81764	11.001697	11.168488	11.195032	11.014968	10.519415	10.916524	10.180297	10.45761	10.503934	10.434082	10.770165	10.274723	10.665683	10.97586	10.447808	11.090504	10.651157	10.707267	10.66134	10.507691	10.886128	10.349579	9.3180609	6.8547775	7.0157383	8.9485108	8.5255616	8.3656658	8.0363996	7.9169534	9.4522018	7.7811098	9.0627417	8.0094946
EIF4A1	11.1556649	11.0760126	11.0294348	10.4366899	11.6743037	11.3960257	11.4702526	11.4074664	12.968807	12.772931	12.946184	12.783993	12.963565	12.543533	12.633212	12.859778	12.871724	12.825033	13.178489	13.25576	12.935142	12.789648	12.594265	12.7668	12.986267	12.476463	13.074637	12.543533	12.756434	12.407714	11.355736	13.110086	13.032422	12.432231	12.804786	12.594265	12.871724	12.825033	12.290024	12.557613	12.306267	10.8090825	10.9509047	10.9180722	11.1005194	10.9341271	11.073753	10.9019128	10.9101073	10.9790427	11.0031016	11.025356	10.9971855
EIF4A2	10.6873011	11.4318651	11.5131419	11.9038577	11.4550945	11.0221181	11.540824	11.3197665	10.944423	11.954701	11.861673	12.038736	11.842599	11.658176	11.500588	12.44137	12.427676	11.701572	11.211032	11.992724	11.309516	11.358479	11.66905	12.463571	11.709985	10.418543	11.728072	11.225959	11.013169	12.290024	11.159149	11.05131	11.88523	10.459019	10.866724	12.221596	11.765781	10.619793	10.843173	12.846992	11.010129	12.631053	12.4028154	12.3227715	12.2915401	12.5882289	12.7216761	12.3367554	12.374111	12.2410324	12.2765809	12.3640579	12.0601096
EIF4A3	9.5127614	9.3422104	9.1530216	10.1168172	10.5640434	9.8308176	10.2537094	9.9597966	10.590149	10.53557	10.447808	10.607207	10.445542	10.621366	10.76612	10.455045	10.578165	10.597593	10.791172	10.609996	10.667203	10.789939	10.355923	10.019476	10.487454	10.150003	10.232575	10.461799	10.329861	10.036596	9.762986	10.496778	10.369501	10.261956	10.114192	10.342229	10.367249	10.592562	10.320755	10.105829	9.965005	9.147123	9.889114	9.5088225	9.6258008	9.5839015	9.4186527	9.7873437	9.6499236	9.990551	9.68533	9.9372482	9.7233753
EIF4B	9.8396414	10.02725	9.9814902	9.2812332	10.0061666	9.3448631	9.2174417	9.7121973	11.516661	11.83086	11.848188	11.951262	12.05303	11.779486	11.724663	12.294282	11.650503	11.870952	11.954701	12.306267	11.821592	11.763011	11.795195	11.979641	11.992724	10.97767	12.038736	11.15691	11.924525	11.911793	10.970919	11.892027	12.39201	11.526195	12.455801	11.973131	11.604388	11.969942	11.294405	12.113646	11.526195	11.1054626	11.4288221	10.8049917	10.8711246	11.3705712	11.311021	10.5860686	11.0471747	11.5087486	11.5788814	11.6917757	10.7821433
EIF4E	7.3966204	5.6725546	5.9822103	7.7575542	7.5204099	8.0054628	7.3178583	7.4397459	7.136705	7.296862	7.226086	7.172539	7.207903	7.352681	7.215858	7.234818	7.143178	7.125793	7.293937	7.261164	7.174246	7.184789	7.173782	7.254419	7.142382	7.089269	7.149318	7.269208	7.169824	7.134711	7.218864	7.233512	7.214872	7.37878	7.279443	7.366515	7.090212	7.177563	7.144864	7.214068	7.244333	7.402578	6.5252018	6.7038278	6.401031	5.8813234	6.3626484	6.7360019	6.6981069	6.2409661	6.618918	6.3896583	6.0852023
EIF4E2	9.9822398	9.5146852	9.4488789	9.4597752	9.22782	9.8193014	10.1515176	10.0575628	9.50953	9.428453	9.529992	9.312906	9.571711	9.085416	9.632678	9.237889	9.454341	9.51803	9.840207	9.592615	9.534589	9.502319	9.230355	9.431495	9.461669	9.554532	9.436959	9.532744	9.745053	9.315187	9.085021	9.783494	9.652319	9.83636	9.711059	9.751069	9.462261	9.423863	9.617978	9.195393	9.35351	9.553294	9.623413	9.8177926	9.94308	9.8926127	9.9529462	9.7838596	10.000378	10.1354703	9.8642333	9.6542008	9.9609489
EIF4EBP1	8.7381446	9.2061206	9.5937356	5.365505	8.6531392	8.3576672	8.8267319	8.6336175	7.652553	7.55066	7.664053	7.500614	7.601163	7.382985	7.491491	7.570781	7.491569	7.429801	7.70951	7.40644	7.414832	7.267642	7.183495	7.651374	7.497358	7.289265	7.327878	7.385853	7.569245	7.559753	7.461636	7.562123	7.638115	7.419488	7.34877	7.522877	7.643256	7.312753	7.510249	7.576797	7.457259	8.9025187	9.3694258	8.6974966	9.2190768	9.1273291	7.150913	9.5494523	9.1916212	9.8790654	9.4005583	9.4827738	9.3307838
EIF4EBP2	9.7706045	10.3482231	10.377065	10.4598114	9.9668195	9.7868625	9.8612902	10.2637751	11.146264	11.239328	11.054948	10.97586	10.937606	10.979265	11.243531	11.034012	11.060653	11.355736	11.142001	11.31866	11.204141	11.451547	11.18094	10.896281	10.71653	11.483853	11.291856	11.159149	11.389059	11.044331	11.526195	11.147926	11.01657	11.351436	11.736826	11.291856	11.24769	11.461006	11.500588	10.918328	11.351436	9.9146414	10.2589903	9.2730946	9.9697483	10.2015059	10.0262303	9.8453877	10.0900305	10.3274335	9.8587162	9.9891283	10.0990362
EIF4G1	9.3387013	9.1920293	9.2552748	6.4749846	8.8257284	8.6577195	9.103953	8.9805436	8.700179	8.450785	8.434759	8.374065	8.370226	8.487428	8.361221	8.339449	8.370226	8.360313	8.328661	8.461975	8.488792	8.743199	8.587707	8.316722	8.603292	8.522502	8.426472	8.329219	8.345975	8.28144	8.099189	8.671595	8.295569	8.450114	8.503926	8.292849	8.35525	8.681255	8.351046	8.287728	8.648559	10.0491623	10.2660865	10.1794539	10.2297409	10.4601557	10.3526938	10.1108733	10.4116469	10.3779452	10.0885885	10.2367402	10.3316138
EIF4G2	12.6611998	12.6564065	12.7274044	13.1793123	12.8520789	12.8520789	12.8452219	13.1437679	10.703196	11.294405	11.0774	11.309516	11.498102	11.138081	11.291856	11.360689	11.615479	11.301952	11.144056	8.726799	10.81952	10.805597	11.193235	11.495622	10.896281	10.845154	11.103283	11.255604	10.865085	11.555183	11.187109	11.049514	11.334645	10.97767	8.763765	10.923232	11.0774	10.76331	11.249594	11.745245	11.042552	12.4928889	12.4928889	12.4498593	12.3811584	12.5647618	12.709767	12.6600022	12.5040995	12.4750048	12.5814066	12.7318674	12.3773011
