id	SVM	glmBoost+SVM	Ridge	Lasso+SVM	glmBoost+Ridge	Enet[alpha=0.1]	glmBoost+Enet[alpha=0.1]	Enet[alpha=0.2]	Enet[alpha=0.3]	glmBoost+Enet[alpha=0.3]	glmBoost+Enet[alpha=0.2]	Enet[alpha=0.4]	glmBoost+Enet[alpha=0.4]	Lasso+glmBoost	Enet[alpha=0.5]	glmBoost	glmBoost+Enet[alpha=0.5]	Enet[alpha=0.6]	glmBoost+Enet[alpha=0.6]	glmBoost+Enet[alpha=0.7]	glmBoost+Enet[alpha=0.8]	Enet[alpha=0.8]	Enet[alpha=0.9]	Lasso	Enet[alpha=0.7]	glmBoost+Enet[alpha=0.9]	glmBoost+Lasso	Lasso+plsRglm	glmBoost+plsRglm	glmBoost+Stepglm[forward]	Lasso+Stepglm[forward]
GSE176440_GSM5365608_Control	1	1	0.912910201200057	1	0.929481494776287	0.904248737083379	0.944688515847632	0.904474493900904	0.898045067918294	0.915818702417902	0.929634663297665	0.8920800693286	0.909892401310943	0.729016332173237	0.883122259019863	0.810084768390911	0.901893981883189	0.871850528171215	0.868031074447359	0.833310917931987	0.798045969196799	0.788298812902097	0.754556117008652	0.740080760459854	0.833822207870902	0.75856551213533	0.74417846918488	0.991129473440553	0.999595046437801	1	1
GSE176440_GSM5365609_Control	1	1	0.974266705267759	1	0.988755386561523	0.977491195884273	0.996274702521314	0.983696742810498	0.985067384659904	0.9882281104934	0.992078135076705	0.985612566859038	0.990367060874858	0.954252506433676	0.985120846754386	0.965864026837549	0.995343568106433	0.989034183806779	0.983513117498334	0.974641841668388	0.992164773369307	0.986174123540542	0.952406260136313	0.989286361050245	0.977540735190846	0.984840519476896	0.973824809523398	0.999965063292768	0.999996340619083	1	1
GSE176440_GSM5365610_Control	1	1	0.925134883124345	1	0.970043574293111	0.939724511379943	0.989419065209251	0.959924444591223	0.96997162194436	0.976129151443735	0.981189245494752	0.975024351552575	0.982433424567601	0.974816046692674	0.977839573448899	0.975412020571259	0.992358212081856	0.98609244507984	0.979661577657271	0.975763390416499	0.993865549335292	0.989740512792216	0.973314436806778	0.994619991205268	0.978422693276001	0.990982627150813	0.987197453837017	0.99972904669567	0.999936445781134	1	1
GSE176440_GSM5365611_Control	1	1	0.800082840424443	1	0.802138080838209	0.823151134608465	0.892052403283866	0.838998231498624	0.840880599120958	0.854292792694006	0.861683409535308	0.864653044557545	0.886030592380489	0.915938019296156	0.882911676540132	0.895687427907489	0.936247624030113	0.918923245158067	0.898481532536988	0.900112936929962	0.963275218044368	0.949826783879751	0.91346768879841	0.97177630912647	0.907014170589623	0.958349348148277	0.947993768835367	0.970364227517163	0.938627932121435	1	1
GSE176440_GSM5365612_Control	1	1	0.958838978149093	1	0.967646663785282	0.963377018963843	0.985380560576357	0.970615572591959	0.972887319789674	0.974165396950609	0.978150047786087	0.975253031353822	0.978999439695267	0.975417129979013	0.976198765810917	0.978659588699456	0.987166902626493	0.981067154697353	0.976342797658804	0.973346885651756	0.987530947134948	0.98295508354023	0.972287435969922	0.988708227692555	0.975005664120509	0.984402966447831	0.981857318314936	0.999621248801791	0.999925719895162	1	1
GSE176440_GSM5365613_Control	1	1	0.973958981271177	1	0.940997659682124	0.957684623192308	0.960739090128562	0.947937852726691	0.936363216626597	0.929397034403664	0.943544888039378	0.931305427191538	0.936050306807207	0.846166752161621	0.925058968771343	0.826004972415886	0.958324979987187	0.936433718575839	0.917420867721815	0.897052509083218	0.959702452379802	0.942846421464324	0.848645267936475	0.953261179406141	0.906090956044703	0.942617539748261	0.904467742660593	0.999923697279723	0.999847555473898	1	1
GSE176440_GSM5365614_Control	1	1	0.941577581404277	1	0.960242707815395	0.945536222947747	0.983840156535855	0.956641669101195	0.960621314283838	0.965413708855597	0.972694833289467	0.964112980361185	0.972840393418729	0.950002948987716	0.965805968973237	0.95043915598481	0.986480274098161	0.976179939071202	0.96640323421921	0.958172966777196	0.98717606104893	0.979816103862228	0.945233347984111	0.986709652947636	0.96250234006735	0.980668519998439	0.970286865871473	0.999578062485242	0.999823017202138	1	1
GSE176440_GSM5365615_Control	0	0	0.240572353198565	0	0.286081579340107	0.254020848456662	0.299863618449978	0.263314069935007	0.287027761142719	0.321003495331814	0.307281596115707	0.318598415584671	0.34811417035062	0.436716093814733	0.355121540211539	0.364062309728161	0.409929048317644	0.418954516893566	0.397990905963158	0.420935463713368	0.540452611549458	0.519535484536255	0.46082292771921	0.547938351707488	0.429651551988937	0.528070346267249	0.497931496486009	0.141920444955405	0.0149947195412809	0.999999999862017	0.00503127894273979
GSE176440_GSM5365616_Control	0	0	0.183623406825493	0	0.140841739179867	0.17684909823226	0.105604511666624	0.157567567328459	0.15321644032253	0.157281121629834	0.135377259250019	0.162568069772941	0.153945681039541	0.236746560176129	0.175921000243076	0.206519418769783	0.130210307606265	0.173012909652951	0.194147024250653	0.228449654054605	0.169183043789823	0.199725988579497	0.292747085864277	0.190896046691068	0.220847151412447	0.207987326486511	0.248494592966052	0.00936006059239233	0.00170320411010283	2.22044604925031e-16	2.22044604925031e-16
GSE176440_GSM5365617_Control	0	0	0.237921878411872	0	0.219961493880258	0.229655407161548	0.140905170395689	0.205986542989296	0.198761682515202	0.208732285811861	0.185996622618296	0.198163888582531	0.185972825002786	0.191531024949951	0.20125068628912	0.17635712248359	0.126838323702898	0.17403348567489	0.207156629323481	0.229966271251662	0.12577273988876	0.161011410693664	0.251646249332483	0.123365809332163	0.218640021702261	0.156549118962574	0.183874342272656	0.0871819768473851	0.0179376744671586	0.000216171390550473	1.64266537615638e-13
GSE176440_GSM5365618_Control	1	1	0.755936000418087	1	0.821683163261598	0.753266596550259	0.884909083414474	0.777664019193033	0.791958815209641	0.807534722524064	0.837714653009701	0.793825996445003	0.823573530822038	0.629007878130303	0.789864032946746	0.65729656678117	0.879822302779256	0.819797443032844	0.780990077263952	0.739981100651103	0.855498112707056	0.810594938522738	0.675194712108134	0.833734380315185	0.753992219910975	0.801125478348395	0.751397329112228	0.913216840942227	0.981447495284323	1	1
GSE176440_GSM5365619_Control	0	0	0.182972181542227	0	0.0737016467291438	0.134724341479212	0.0296869106342076	0.101287269005411	0.0851721324837598	0.0640854472324817	0.050656876242265	0.0744781361698092	0.0512159950109367	0.0746398392179074	0.068513654398573	0.0683633732274883	0.0258914356998008	0.0472172844572777	0.0657140294498236	0.0833288349489606	0.0269129226732384	0.0432864521420318	0.113959703778534	0.0277354104474457	0.0755245606845064	0.041103131015581	0.0635624098751148	0.00462890533996187	0.000768567696610256	2.22044604925031e-16	2.22044604925031e-16
