id	GSM265436_Control	GSM265439_Control	GSM265445_Control	GSM389705_Control	GSM389707_Control	GSM389709_Control	GSM389710_Control	GSM389712_Control	GSM389713_Control	GSM389715_Control	GSM389718_Control	GSM389720_Control	GSM389723_Control	GSM389725_Control	GSM389728_Control	GSM389729_Control	GSM389732_Control	GSM389734_Control	GSM185531_Control	GSM185532_Control	GSM185533_Control	GSM185534_Control	GSM185535_Control	GSM185536_Control	GSM265020_Treat	GSM265036_Treat	GSM265361_Treat	GSM265363_Treat	GSM265366_Treat	GSM389703_Treat	GSM389704_Treat	GSM389706_Treat	GSM389708_Treat	GSM389711_Treat	GSM389714_Treat	GSM389716_Treat	GSM389717_Treat	GSM389719_Treat	GSM389721_Treat	GSM389722_Treat	GSM389724_Treat	GSM389726_Treat	GSM389727_Treat	GSM389730_Treat	GSM389731_Treat	GSM389733_Treat	GSM389735_Treat	GSM183695_Treat	GSM185526_Treat	GSM185527_Treat	GSM185528_Treat	GSM185529_Treat	GSM185530_Treat
S100P	8.319678	7.685284	8.096869	8.346098	9.021562	9.457204	8.780448	9.550844	8.922894	8.668511	7.636999	8.579993	8.290435	6.628086	8.67389	8.263559	7.260007	8.175206	8.687333	9.261003	9.221589	9.422025	8.644229	9.977319	9.419111	10.533609	10.18728	9.652723	9.382176	10.47924	9.529848	10.884435	10.290454	10.087106	7.856047	10.999936	11.565934	9.085366	9.47006	8.17687	10.250054	10.359014	9.6022	8.929047	10.408796	8.62792	9.014745	9.201687	9.138924	8.791777	9.292838	9.023561	8.976381
HIRIP3	7.722093	8.141065	8.427574	8.03188	8.007382	7.79346	8.241547	7.895688	8.043246	7.875173	7.942339	8.177475	7.389885	8.224232	7.191804	7.521952	7.028677	7.74022	7.619081	8.103008	7.641039	7.384043	7.833497	7.97797	7.0082	6.819066	7.508659	7.313363	7.012294	7.188339	7.969685	6.876644	7.447284	7.408203	7.72468	7.159663	6.215615	7.360083	8.332489	7.254922	6.274384	7.194503	7.026394	8.066274	6.852836	7.039522	7.233435	7.155523	7.714728	7.705376	7.378934	7.751476	5.77993
SLPI	7.472621	7.507703	7.989414	7.575143	7.152995	7.948833	7.201707	8.80201	7.76642	7.76642	7.130538	7.143695	8.885779	7.844307	7.516238	8.538757	7.143442	7.21268	7.42411	7.381354	9.238565	10.11771	8.4588	8.524986	9.009072	9.143596	9.148756	9.983804	7.868909	8.511863	11.644452	9.555201	8.604014	7.405671	10.07945	9.128914	10.050638	8.552682	9.119539	9.58157	8.985847	8.845511	8.443186	8.817996	9.535105	8.675607	8.911408	9.481468	9.024839	6.81407	8.000209	7.541254	9.983669
AIM2	6.464799	6.082626	6.584951	6.76958	6.423409	6.88951	6.240237	6.799731	6.903424	6.667139	6.759782	6.698133	6.998381	6.501592	6.243284	6.099973	6.308953	6.322639	7.149619	6.632529	6.770624	6.032527	6.875462	6.823551	7.531249	7.444421	7.879077	6.52108	6.890109	7.57839	6.934242	6.691255	6.835217	7.771937	7.021391	7.792642	8.150194	6.290124	6.602418	7.811156	6.006582	7.708528	7.13167	6.448796	8.045813	6.90009	8.092698	6.374067	6.880036	6.632529	7.421414	7.851259	7.455843
NEDD9	5.899916	6.543445	6.238154	6.910698	6.75425	6.728585	6.473963	6.490044	6.796391	7.152528	6.693509	6.708462	7.128818	6.495781	6.98195	6.984524	7.69659	6.554851	6.286623	6.460283	7.787266	7.30799	5.990932	5.894967	7.266797	7.854709	7.828982	7.75323	7.245686	6.757171	6.533183	7.813941	7.024658	7.754913	6.784324	6.941963	8.312334	6.790562	6.723871	8.141447	7.724387	7.679882	6.627392	7.014515	8.205372	6.45342	7.243571	7.029258	8.172249	8.324361	7.125089	7.19061	7.184767
TNFAIP6	9.999502	8.042942	7.211026	7.875876	8.502973	9.652231	8.069889	8.179925	8.110058	8.732604	8.670868	9.02507	9.578174	8.790496	8.415496	8.47886	8.889742	8.905795	9.886642	7.011433	10.3892	10.741737	8.56344	8.661162	11.158889	9.879401	10.132767	10.187465	9.540878	9.622885	9.611371	11.510553	8.914771	11.809592	10.557959	10.371126	11.224213	8.617196	9.202924	10.736459	7.988914	10.675084	10.701803	7.260715	11.520812	10.31933	11.635434	10.852656	10.830584	7.966273	8.987804	8.917561	10.985394
ANXA1	10.554453	10.595148	10.033013	9.956446	11.314654	11.350985	10.280427	10.655629	10.278678	10.287256	11.53404	10.781016	11.217501	11.090691	11.404191	9.793456	10.388293	10.390286	11.636425	11.502866	10.98998	10.70428	11.563305	11.439996	11.82751	11.784623	11.880849	11.619567	11.703709	12.721377	11.536495	11.413828	11.495087	11.506363	11.706097	12.097633	11.151041	11.558639	11.813232	11.376509	10.315232	12.549917	12.125016	10.277765	11.779475	12.688479	10.813481	11.11065	10.994936	11.249018	11.568063	11.199534	10.581104
ORM1	8.402634	7.437698	6.70631	6.518876	6.365986	8.043718	7.126049	6.28415	6.952558	7.083411	6.939577	7.196055	5.931815	6.855136	7.19532	7.122205	7.304281	6.458064	8.366972	7.719152	8.42973	8.083617	6.593502	6.652054	6.968616	8.183768	7.945282	7.748481	7.816309	7.425484	8.430675	9.324702	8.088603	8.710145	8.1169	9.63233	8.04305	8.485942	7.171285	9.351577	7.908165	9.281812	7.20143	8.166699	9.056588	7.283818	7.530721	5.969191	7.305174	8.349391	8.115617	8.159184	8.002325
DFFB	6.84373	7.198718	6.782636	6.28187	6.760734	6.89195	6.84761	6.986388	6.937203	6.643179	6.973958	7.05271	6.524144	6.200872	7.617638	6.468259	6.751491	6.268858	5.7827	5.882806	6.966128	6.806534	5.91437	7.122126	7.012599	5.778808	5.880231	5.379641	6.025885	6.560153	6.745385	4.981037	6.483617	6.04048	5.93991	6.502146	5.190534	6.036357	6.337336	5.348515	6.825214	6.336876	6.107696	5.759627	5.750827	6.55829	5.484736	6.089329	5.995446	6.768778	6.553472	6.714653	5.626358
CKS2	7.354423	6.591502	6.755727	7.511431	7.461093	8.287571	7.203914	7.907361	7.476088	7.373241	7.725621	7.958757	7.365503	7.973553	7.306781	6.534703	7.38586	7.621076	7.453631	7.53543	8.45641	9.258191	7.463693	6.806097	8.798129	8.574072	8.415422	8.61417	8.516577	9.0502	8.465138	7.669775	7.654929	7.789423	8.678685	8.873991	8.326266	7.824367	8.425806	7.821191	7.239429	8.328996	8.577689	7.461001	7.843862	9.480542	7.915458	7.740624	8.084651	7.909137	7.715947	7.379445	9.046392
